MB_IPB_VehLongAccel,MB_IPB_VehLateralAccel,MB_IPB_YAWRate,Monr_AI_f32_SteerAgFA_rad,Monr_AI_f32_RoadSteerAgRA_rad,Monr_AI_f32_VehSpdLgtEstim_mps,Monr_AI_b_ABSActv_flg,Monr_AI_b_TCSActv_flg,Monr_AI_b_VDCActv_flg,VelForward
-0.5794,1.4112,0.5940,0.6605,0.1626,10.9981,0,0,0,1.7321
0.0602,-0.7925,0.3783,-0.6394,-0.2698,5.0147,0,0,0,-0.1842
-0.0003,-0.0536,0.1395,-0.0034,-0.0445,39.7474,0,0,0,35.2290
-0.1599,-2.9623,0.2123,-0.4032,-0.1422,32.9954,1,0,0,20.3533
0.6604,0.3312,0.0848,0.1387,0.0197,23.3264,0,0,0,21.5944
2.3422,2.7684,0.5950,0.0898,-0.0018,37.3949,1,0,0,29.3963
1.0005,1.2939,-0.5749,-0.0089,-0.0830,16.6832,0,0,0,12.3579
3.4762,-1.2992,0.0225,-0.1131,-0.0127,38.7107,0,1,0,39.3360
-1.1016,-1.7205,0.3671,-0.5622,-0.2046,26.2676,0,0,0,15.9946
1.7363,0.6226,0.3113,0.6946,0.2394,37.7251,0,1,0,32.4193
2.3080,-3.6806,0.3034,0.4496,0.1634,21.1721,0,0,0,21.6503
3.5091,-3.6570,-0.1731,0.5427,0.2843,15.8894,0,0,1,19.4016
-1.7851,0.8893,0.2704,0.5688,0.2704,18.1990,0,0,0,10.1530
-0.4334,2.7648,0.0224,-0.5697,-0.2909,13.7887,0,0,0,11.7665
-1.3736,0.4584,-0.3801,-0.0964,0.0087,29.0821,0,0,1,19.8158
-2.9623,0.7839,-0.5468,0.6408,0.2993,10.5910,0,0,0,-1.4442
2.9320,2.4380,0.1666,-0.4812,-0.2524,8.2022,0,0,0,12.3426
2.2813,2.9684,-0.1749,0.6962,0.2054,28.4178,0,0,0,20.5336
-2.1230,1.6506,-0.0023,0.3401,0.1726,34.2093,0,0,0,25.1071
3.4166,1.4840,-0.5757,-0.1606,-0.1186,21.2486,0,1,0,20.2892
-2.2331,3.6749,-0.5678,-0.3022,-0.1177,10.1046,0,1,0,-0.9934
2.0344,-3.8364,0.1833,0.3382,0.0299,10.3617,0,0,0,10.6871
-1.0187,3.7058,-0.5465,0.6292,0.2850,7.6208,0,0,0,-7.1647
1.8843,-0.7920,0.5319,0.0920,-0.0451,11.3049,0,0,0,10.1180
0.6748,2.0329,0.4941,0.6431,0.1604,39.0560,1,0,0,26.4828
-2.1535,-3.8186,0.1663,-0.6449,-0.2567,10.5603,0,1,0,-6.5754
-1.0151,-1.8026,-0.3146,0.3757,0.1437,17.0913,1,1,0,9.5784
0.2314,-3.2581,0.1119,0.3566,0.1821,25.0991,1,1,0,20.0251
-2.7466,0.5765,0.1696,0.3674,0.1806,30.6531,0,0,0,21.8439
-1.2419,0.8163,0.3041,0.6036,0.1813,14.5111,0,0,0,7.7826
2.7334,3.5661,0.1806,-0.0897,-0.0143,6.0713,0,0,0,6.7728
-2.3362,2.6363,-0.2348,0.0462,-0.0168,32.0371,0,0,1,19.9849
0.8904,-2.6144,0.4397,0.2256,0.1071,37.6648,0,0,0,32.2137
-2.9115,3.2649,0.2242,0.5810,0.1250,8.4366,0,0,0,-6.5972
-1.2803,3.0287,0.1814,-0.1338,0.0276,21.0215,0,0,0,13.8093
1.3189,-3.6734,-0.4380,0.0175,-0.0334,29.5427,1,0,0,21.8000
1.8222,2.1386,-0.0250,0.3030,0.1668,12.0948,0,0,0,9.9408
2.5299,-0.5771,-0.2420,-0.3127,-0.0814,30.7329,0,0,0,29.8581
0.9331,-3.0488,-0.5206,0.3726,0.2143,41.9291,0,0,0,36.4434
-2.9224,3.4568,-0.1079,-0.0679,-0.1152,23.1773,0,0,0,12.4730
-1.0476,3.2672,0.3550,-0.2084,-0.0032,12.1865,0,0,0,5.4363
-2.1329,0.9389,-0.3594,0.1070,-0.0298,26.6590,0,0,0,17.7876
-0.1048,3.7471,0.3320,0.6469,0.1731,37.5993,1,0,0,20.3303
-1.0558,0.6979,0.4333,-0.5553,-0.1064,29.8322,0,0,0,23.4760
-1.3950,3.3178,-0.2376,0.6824,0.2066,19.9615,0,0,0,5.3015
2.4402,1.4915,-0.4349,0.3769,0.0863,16.8002,0,0,1,13.7346
-1.8007,3.1659,0.1496,0.2946,0.0726,25.3918,0,1,0,12.4173
-1.2719,3.8898,0.3545,-0.6063,-0.1917,23.9571,0,0,0,19.5490
-2.1159,-2.5267,0.0709,0.3651,0.1047,27.4695,0,1,0,19.5801
0.6525,-0.0851,0.1170,0.5976,0.2209,17.6746,0,0,0,17.2450
1.4621,1.0752,-0.3633,0.3884,0.0812,35.0559,0,1,0,29.8553
1.5093,-1.2605,-0.3475,-0.3115,-0.0361,42.5123,0,0,0,37.8238
-2.3911,1.3150,-0.2811,-0.6903,-0.1439,33.7854,0,0,0,25.4544
-1.5383,-3.4023,-0.4209,0.4498,0.0979,23.6925,0,0,0,16.5835
1.9020,-0.9680,0.5102,-0.6183,-0.1193,11.8150,0,0,1,7.5458
3.9780,-0.5904,-0.2809,0.5374,0.2311,41.9768,0,0,0,44.1554
-0.1846,-3.8200,0.0751,0.5570,0.2078,26.6400,0,0,1,23.1269
-2.9984,0.4405,-0.2051,0.3247,0.0248,31.9033,0,0,1,21.0903
0.3497,-3.4498,0.3672,0.6110,0.1682,34.7392,0,0,1,29.9169
-2.1371,2.3730,0.5912,-0.6073,-0.2742,30.7558,0,1,0,20.5148
3.9031,3.1194,-0.3060,0.2660,0.1074,21.7883,0,0,0,19.0229
-1.3630,-2.7101,-0.3976,0.6717,0.3331,17.6700,0,0,0,13.2558
2.3247,3.4224,-0.2606,0.4838,0.1192,12.7373,0,0,0,6.4060
3.2407,1.6955,0.2560,0.1481,0.1164,27.3670,0,0,0,27.5359
1.7984,-1.8014,-0.0751,-0.5612,-0.0973,41.5573,0,1,1,34.7843
0.2292,-2.4775,-0.1183,0.2975,0.1351,7.2179,0,0,0,5.1755
3.1560,2.6741,0.5923,-0.0701,-0.1014,24.8330,0,0,0,22.3239
0.5673,-3.1962,-0.2865,0.4138,0.0641,23.4623,0,0,0,20.2054
1.0298,0.3956,-0.3760,0.2552,0.1727,31.6460,0,1,0,27.3578
3.8705,-0.6049,0.2102,0.6959,0.3337,37.3464,0,0,0,40.3671
0.5987,-3.4800,0.4274,0.2448,0.0554,18.7120,0,0,0,13.4153
0.9757,-0.6124,0.0594,-0.4849,-0.1113,17.5392,0,0,0,16.0126
-1.5199,-0.4231,0.1348,-0.1510,-0.0689,8.2381,0,0,0,3.0078
-1.5678,0.0238,-0.3599,-0.1732,-0.0060,24.4061,0,0,0,17.5454
2.4048,1.6371,-0.1386,0.3938,0.0772,26.2062,0,0,0,24.4518
-1.5749,3.7594,-0.0549,0.0969,-0.0136,7.5455,0,0,0,-1.6110
3.5489,1.3197,0.3133,-0.1800,0.0299,7.4692,0,0,0,10.1490
1.4570,-2.9133,0.5731,0.6682,0.2623,24.2586,1,0,0,21.9479
-1.5280,3.2300,-0.5289,-0.3864,-0.2270,13.9179,1,0,1,3.7530
-2.5942,-2.1664,-0.2917,-0.6014,-0.1864,9.0716,0,1,0,-5.2733
-0.6572,1.6138,-0.4308,0.5928,0.3043,7.5741,0,0,0,-0.4624
-2.9693,0.9739,-0.2776,-0.1497,-0.1418,6.2086,0,0,0,-1.6519
-2.8861,0.7403,-0.5290,0.2442,0.0302,20.4854,0,0,0,9.2852
0.9425,-3.6041,-0.5828,-0.6108,-0.2084,24.3254,0,0,0,12.0889
-1.3036,0.5737,0.2446,-0.1979,-0.0289,21.5771,0,0,1,14.5201
0.5098,-0.7479,0.2197,-0.5788,-0.2795,33.2013,0,0,0,28.4058
-1.6785,-3.3187,-0.4559,-0.1513,-0.1145,41.2864,0,0,0,27.4420
-1.1167,-0.2402,-0.2433,-0.2010,-0.0728,21.8933,0,0,0,16.7513
0.1287,-3.8788,0.4677,0.3757,0.0382,10.9546,0,0,0,7.1901
3.0619,-1.6301,-0.0770,0.2285,0.1370,10.9729,0,0,0,14.6404
2.8020,2.0448,0.5975,-0.0379,-0.0494,6.1941,0,0,0,5.3673
2.9740,3.5363,-0.0075,0.5778,0.1281,11.5978,0,0,0,6.4416
1.1194,1.4371,-0.2920,-0.5868,-0.1697,41.9666,1,0,0,37.4441
3.9507,0.6142,0.0410,-0.3837,-0.0426,31.2715,1,0,0,33.1287
-2.6682,-3.6817,-0.2054,-0.3117,-0.0228,40.1098,0,0,0,24.2398
3.7325,-3.2012,0.5445,-0.5168,-0.2492,10.6700,0,0,0,5.5314
3.9809,-0.1974,0.3060,-0.3242,-0.0779,15.5129,0,0,0,19.1319
-1.9055,2.2285,0.4835,-0.2017,0.0270,25.8504,0,0,0,16.4861
-1.8077,0.0882,-0.4796,0.6446,0.1993,38.9377,0,0,1,28.6529
-1.6529,-3.1979,0.1468,-0.5570,-0.2940,26.7391,0,1,0,12.0987
0.6122,0.2772,0.0826,-0.5666,-0.2073,11.9623,0,0,0,11.8591
2.5886,0.1568,0.3212,-0.6441,-0.2902,23.4773,0,0,0,24.8568
1.5753,-3.9627,-0.3598,-0.4969,-0.2247,7.1318,0,0,0,-1.9808
-1.1526,-1.6762,-0.1442,-0.0079,-0.0551,29.1561,0,1,0,20.4051
1.8732,-3.7979,-0.2874,-0.0588,-0.1184,30.5680,0,0,0,25.0862
-1.6201,-0.0784,-0.4073,0.4405,0.0544,24.4321,0,0,0,16.9523
-2.8110,-0.8311,-0.3038,0.3174,0.0802,24.3004,0,0,0,15.2581
0.8085,-1.0409,-0.2532,0.3000,0.0227,28.8772,0,0,0,26.2243
2.0648,0.5904,0.4501,0.4650,0.1065,34.4010,0,0,0,31.7201
-0.8915,0.1474,-0.4133,-0.5504,-0.2609,16.4022,0,0,1,9.7430
0.7318,-3.5264,0.3372,-0.1609,0.0386,36.4349,0,0,0,27.3702
2.3703,0.7384,-0.2526,-0.3130,-0.0745,22.2218,0,0,0,23.0525
-0.3537,0.5957,0.3364,-0.5960,-0.2607,5.9743,0,0,0,3.4998
2.9496,-2.3164,0.1558,0.1839,-0.0277,30.2448,0,0,0,30.5006
1.0076,1.4682,0.4072,-0.5319,-0.0942,31.9391,0,0,0,29.3423
2.4531,-1.0902,-0.5689,0.0564,-0.0553,41.4288,0,0,0,38.7835
1.2907,-3.8475,0.4686,0.6123,0.2189,26.1559,0,0,0,24.2137
1.6226,-3.7519,0.0686,-0.5374,-0.0882,31.3913,0,0,1,21.1720
2.5769,-1.3191,0.3006,0.4907,0.0737,23.4766,0,1,0,22.7660
-0.3018,-3.3106,-0.1867,0.5718,0.2559,26.0312,0,0,0,23.0321
2.2255,0.5666,0.1711,-0.1109,-0.1298,33.4241,0,0,0,33.1451
-1.4354,0.9488,0.1107,0.1610,-0.0132,15.5577,0,1,0,7.8135
-0.3948,2.9829,-0.4180,-0.4826,-0.1438,26.8195,0,0,0,21.5423
3.3106,2.6654,-0.5241,0.2956,0.1603,13.5828,0,0,0,10.1063
1.7580,-1.8013,0.0585,-0.5934,-0.1362,34.1408,0,0,0,29.6774
-1.0059,2.0239,0.5691,0.0843,-0.0643,38.1980,0,0,0,27.2346
-2.5700,-2.7382,0.0867,-0.5673,-0.1928,19.8327,0,0,0,7.0421
1.0974,3.5113,-0.3188,0.2326,0.0528,8.6989,0,1,0,1.7163
-2.4379,3.6573,0.4713,0.4712,0.0972,10.6439,0,0,0,-4.9258
2.6466,-2.3586,0.0411,-0.2311,-0.1408,24.8353,0,0,0,23.4112
-1.5191,0.9024,0.4781,0.4614,0.2446,18.1464,0,0,0,9.7935
0.8466,-1.2504,-0.3723,0.6116,0.1922,8.9624,0,0,0,7.8041
0.7196,-3.5822,-0.3588,0.5888,0.1300,19.4462,0,0,0,18.6904
-0.2366,2.9611,0.0339,0.4622,0.1912,22.7649,1,1,0,11.5769
1.4093,0.4074,-0.2400,0.3450,0.0929,22.5924,1,0,0,18.8495
